geo,name,2016,2017,2018,2019,2020,2021,2022,2023,2024
gin,Guinea,42.69875,44.6575,42.80125,51.03875,50.95083,60.51917,59.13792,51.3225,49.91333
gmb,Gambia,46.52875,50.71958,52.52083,48.23042,55.45042,67.37583,66.00333,68.58875,67.01375
gnb,Guinea-Bissau,32.6775,41.075,46.01667,37.7325,32.23292,39.30917,40.85917,43.90417,47.52333
gnq,Equatorial Guinea,,,,,33.94708,35.29583,34.83042,31.07125,32.1475
grc,Greece,82.54917,83.86875,84.44708,85.36083,85.95208,89.91375,88.74792,90.57542,86.58417
grd,Grenada,,,,,,,48.40917,49.06583,50.81042
gtm,Guatemala,58.85333,62.16,63.1325,62.53625,69.755,74.03417,72.97292,76.93792,79.35583
guy,Guyana,35.88667,35.0425,44.80083,48.64958,50.17375,54.3075,53.10458,54.05208,54.05833
hnd,Honduras,59.21125,61.21292,61.41,61.17625,58.04458,60.7825,60.44333,65.50083,65.6825
hrv,Croatia,66.43333,65.02,70.52167,70.79417,76.01333,86.51792,84.84083,87.02333,85.05042
hti,Haiti,36.18667,40.665,41.2425,34.67958,38.25208,40.57208,36.55667,37.60542,38.74417
hun,Hungary,83.75167,84.53667,84.63667,84.83417,86.09375,89.93042,86.8725,90.22125,87.87167
idn,Indonesia,68.56458,70.45417,72.02125,71.8725,74.08875,78.78917,78.59583,81.09333,82.34458
ind,India,65.71875,64.99583,67.08542,68.38042,73.48875,77.42792,76.94083,77.30833,73.71833
irl,Ireland,83.93042,85.64958,86.2975,87.3775,88.70458,92.815,89.76125,91.41625,88.31792
irn,Iran,49.67875,49.14167,57.26208,57.35833,52.17208,57.71875,58.15083,62.9625,63.5175
irq,Iraq,36.79417,34.03667,31.81125,35.965,40.83792,53.52708,51.66667,54.11417,53.98333
isl,Iceland,69.47167,71.72958,78.29458,78.35333,79.94167,83.41958,86.08667,81.7425,81.47042
isr,Israel,77.38,81.67833,81.69,81.4725,81.96125,84.91417,85.98167,87.89042,90.29375
ita,Italy,88.62417,88.47042,88.18792,88.19917,88.61667,92.48583,91.4525,93.63875,90.93125
jam,Jamaica,51.02542,54.08583,59.65042,58.64292,60.44167,71.22583,68.99958,71.37208,73.46792
jor,Jordan,56.18583,54.84208,56.22,59.84375,66.48083,77.145,78.62458,78.45208,78.81333
jpn,Japan,76.11833,78.05,87.0325,87.1425,87.76,90.70792,90.28875,90.94375,90.99292
kaz,Kazakhstan,71.67625,72.45417,79.27167,78.89917,78.51833,82.64583,81.92917,82.80542,84.89333
ken,Kenya,55.91667,56.99792,54.96292,56.53458,61.31583,68.06833,68.56417,70.63792,73.355
kgz,Kyrgyz Republic,81.09417,80.13125,78.32458,80.80583,82.015,84.29417,84.65458,77.78083,79.14792
khm,Cambodia,53.78625,56.86292,53.83333,56.19583,54.76375,60.22167,60.59917,61.64667,63.01375
kir,Kiribati,28.05958,28.37,28.1175,28.4975,42.82208,46.34583,47.25167,49.33792,50.04167
kna,St. Kitts and Nevis,,,,,35.60833,44.90417,44.77375,38.16083,42.65917
kor,South Korea,76.16708,78.50208,84.81458,84.61708,86.50125,88.93417,88.455,91.4525,91.5675
kwt,Kuwait,45.54,50.41667,55.72083,58.04958,60.1775,66.23542,59.91042,62.43792,63.37542
lao,Lao,41.50875,45.50708,48.38542,53.28875,56.68,60.34042,58.66292,60.89042,60.84125
lbn,Lebanon,32.74292,37.57458,49.10292,55.53042,58.72375,63.91333,61.61333,61.84958,57.81375
lbr,Liberia,43.25958,50.84083,50.77625,52.60167,58.4325,63.84125,61.95375,59.06625,59.12167
lby,Libya,23.44167,26.7275,22.56583,22.23083,23.41458,23.54958,23.4975,33.06417,34.75125
lca,St. Lucia,56.245,57.11792,55.90542,51.82417,62.23708,65.72167,63.67333,64.33083,64.17458
lka,Sri Lanka,73.23083,74.43542,72.75917,74.71792,77.18917,79.27542,76.73167,77.86708,74.575
